probe_set	wt_a	wt_b	wt_c	ko_a	ko_b	ko_c	fold_change
Pp1s363_13V6	418	379	290	330	352	507	1,09
Pp1s363_14V6	1603	1403	1443	1064	1064	1102	-1,38
Pp1s363_15V6	4029	3924	4346	3099	2784	3152	-1,36
Pp1s363_16V6	1466	1076	941	1142	695	764	-1,34
Pp1s363_21V6	1018	1498	1296	1474	1475	1391	1,14
Pp1s363_22V6	3516	2995	3054	3122	2904	3223	-1,03
Pp1s363_23V6	11909	10375	11036	11166	10871	10991	-1,01
Pp1s363_24V6	69	104	96	113	67	182	1,35
Pp1s363_25V6	3145	3346	3751	3790	3494	3746	1,08
Pp1s363_26V6	1980	1932	1787	2069	1917	1846	1,02
Pp1s363_29V6	3270	3224	3331	2797	2900	3041	-1,12
Pp1s363_2V6	195	381	559	597	246	433	1,12
Pp1s363_38V6	127	169	62	287	273	213	2,16
Pp1s363_39V6	143	87	131	130	125	161	1,15
Pp1s363_41V6	699	913	855	967	1159	911	1,23
Pp1s363_43V6	154	67	46	123	173	93	1,46
Pp1s363_44V6	11274	10796	11579	11129	11084	13547	1,06
Pp1s363_4V6	40	44	27	30	31	35	-1,16
Pp1s363_7V6	3541	2841	2571	1883	2056	2140	-1,47
Pp1s363_8V6	5400	6109	7135	4960	4472	4949	-1,3
Pp1s363_9V6	1779	2022	1687	2221	2030	1894	1,12
Pp1s364_10V6	3730	3763	4175	4271	4170	3817	1,05
Pp1s364_11V6	30	35	36	47	66	88	1,99
Pp1s364_14V6	1596	1952	1417	380	251	449	-4,6
Pp1s364_15V6	59	49	50	64	67	65	1,24
Pp1s364_19V6	73	50	44	38	34	34	-1,58
Pp1s364_21V2	3387	3106	3722	2163	1380	2357	-1,73
Pp1s364_21V6	2074	2035	2213	1246	874	1316	-1,84
Pp1s364_22V6	86	114	106	105	75	49	-1,34
Pp1s364_26V6	36	31	40	39	50	24	1,06
Pp1s364_28V6	39	30	48	29	34	29	-1,27
Pp1s364_29V6	115	67	220	90	59	62	-1,91
Pp1s364_32V2	104	125	169	235	288	171	1,74
Pp1s364_33V6	290	172	460	769	559	363	1,83
Pp1s364_34V6	242	228	312	348	311	399	1,35
Pp1s364_38V6	248	255	255	279	230	230	-1,03
Pp1s364_3V6	25478	25191	27605	26730	28683	28987	1,08
Pp1s364_41V6	45	44	45	40	46	35	-1,11
Pp1s364_42V6	1213	1173	1425	1521	1360	1608	1,18
Pp1s364_44V6	2156	2121	2603	1950	2272	1912	-1,12
Pp1s364_46V6	2230	1802	1841	1590	1310	2101	-1,17
Pp1s364_47V6	6426	6224	6148	5855	4480	4666	-1,25
Pp1s364_48V6	4457	5003	5956	5827	5647	5913	1,13
Pp1s364_50V6	4785	4483	4302	4627	4967	4488	1,04
Pp1s364_51V6	105	116	47	65	55	50	-1,58
Pp1s364_52V6	574	418	686	967	604	1064	1,57
Pp1s364_54V6	543	315	316	629	657	817	1,79
Pp1s364_56V6	25225	27141	27466	26827	25890	25207	-1,02
Pp1s364_58V6	2731	2846	2195	2865	2807	2819	1,09
Pp1s364_59V6	2400	3562	3587	2703	2166	1574	-1,48
Pp1s364_5V6	7520	7684	7444	8159	6459	7730	-1,01
Pp1s364_60V6	611	523	589	797	479	618	1,1
Pp1s364_6V6	4446	3963	4518	4966	5410	5284	1,21
Pp1s364_7V6	39	68	34	36	39	32	-1,32
Pp1s364_8V6	1827	1906	1857	2378	2219	1723	1,13
Pp1s364_9V6	942	1090	1085	1098	1074	1003	1,02
Pp1s365_10V6	2648	3239	2138	1850	1900	2236	-1,34
Pp1s365_20V6	133	212	171	247	175	255	1,31
Pp1s365_22V6	13662	16159	13396	14999	13563	15927	1,03
Pp1s365_2V6	44	42	24	84	312	74	4,27
Pp1s365_30V6	14644	13861	14721	14457	14273	14755	1,01
Pp1s365_31V6	4854	4541	4844	4894	4971	5268	1,06
Pp1s365_32V6	50	28	68	70	79	57	1,41
Pp1s365_33V6	114	226	313	155	112	121	-1,68
Pp1s365_34V6	1254	1131	1056	853	752	804	-1,43
