probe_set	wt_a	wt_b	wt_c	baseline mean	baseline mean's SE	ko_a	ko_b	ko_c	experiment mean	experiment mean's SE	fold change	lower bound of FC	upper bound of FC
Pp1s129_204V6__1	7179	7365	6879	7141	141,58	7166	6644	6266	6692	260,91	-1,07	-0,99	-1,15
Pp1s129_205V6__1	2596	1772	2269	2212,33	239,55	2484	2242	2075	2267	118,73	1,02	0,85	1,27
Pp1s129_211V6__1	247	222	211	226,67	10,65	468	252	429	383	66,46	1,69	1,2	2,2
Pp1s129_222V6__1	3200	3477	2544	3073,67	276,64	2618	2731	1987	2445,33	231,48	-1,26	-1,01	-1,56
Pp1s129_223V6__1	13766	11792	10272	11943,33	1011,47	12581	10604	10378	11187,67	699,71	-1,07	-0,89	-1,27
Pp1s129_224V6__1	77	56	80	71	7,55	48	61	55	54,67	3,76	-1,3	-1,04	-1,59
Pp1s129_226V6__1	68	78	39	61,67	11,7	76	50	51	59	8,5	-1,05	-0,68	-1,53
Pp1s129_227V6__1	41	37	45	41	2,31	40	43	31	38	3,61	-1,08	-0,91	-1,31
Pp1s129_27V6__1	64	48	74	62	7,57	51	60	92	67,67	12,44	1,09	0,73	1,54
Pp1s129_28V6__1	21873	23110	23389	22790,67	465,85	25348	26407	23669	25141,33	797,12	1,1	1,04	1,17
Pp1s129_31V6__1	1298	878	1084	1086,67	121,25	1157	957	1265	1126,33	90,22	1,04	0,83	1,31
Pp1s129_36V6__1	30	40	36	35,33	2,91	32	36	34	34	1,15	-1,04	-0,89	-1,19
Pp1s129_37V6__1	63	52	54	56,33	3,38	44	45	45	44,67	0,33	-1,26	-1,14	-1,39
Pp1s129_38V6__1	52	74	91	72,33	11,29	69	95	101	88,33	9,82	1,22	0,9	1,71
Pp1s129_44V6__1	32	56	36	41,33	7,42	31	42	28	33,67	4,26	-1,23	-0,83	-1,74
Pp1s129_49V6__1	4623	4075	4271	4323	160,32	4267	4270	4352	4296,33	27,85	-1,01	-0,94	-1,07
Pp1s129_53V6__1	4730	4691	4390	4603,67	107,42	4616	4570	4875	4687	94,93	1,02	0,97	1,07
Pp1s129_54V6__1	32	35	109	58,67	25,18	36	37	51	41,33	4,84	-1,42	-0,41	-2,53
Pp1s129_5V6__1	4434	5527	5379	5113,33	342,34	5355	6212	6310	5959	303,32	1,17	1,02	1,34
Pp1s129_60V6__1	5562	5102	5483	5382,33	142,01	5120	4877	4717	4904,67	117,16	-1,1	-1,03	-1,16
Pp1s129_61V2__1	4024	5172	4185	4460,33	358,86	3614	3245	3913	3590,67	193,19	-1,24	-1,05	-1,45
Pp1s129_61V6__1	8983	9081	7702	8588,67	444,24	7429	6901	7894	7408	286,85	-1,16	-1,04	-1,29
Pp1s129_62V6__1	457	875	519	617	130,24	257	358	161	258,67	56,88	-2,39	-1,41	-4,08
Pp1s129_63V6__1	11402	11710	10811	11307,67	263,77	9960	12168	8894	10340,67	964,1	-1,09	-0,94	-1,3
Pp1s129_65V6__1	2875	2560	1278	2237,67	488,37	2554	2993	2468	2671,67	162,57	1,19	0,86	1,88
Pp1s129_74V2__1	2397	2348	2035	2260	113,39	3912	4176	3316	3801,33	254,35	1,68	1,46	1,93
Pp1s129_75V6__1	47	74	36	52,33	11,29	73	62	80	71,67	5,24	1,37	0,98	2,15
Pp1s129_85V6__1	576	817	619	670,67	74,21	696	771	831	766	39,05	1,14	0,95	1,42
Pp1s129_86V6__1	286	34	57	125,67	80,44	96	148	136	126,67	15,72	1,01	0,47	100000000
Pp1s129_87V6__1	20923	21457	21861	21413,67	271,64	22122	22848	23575	22848,33	419,45	1,07	1,03	1,11
Pp1s129_88V6__1	1031	797	1414	1080,67	179,84	1114	866	1275	1085	118,96	1	0,73	1,44
Pp1s129_89V6__1	2195	3008	3472	2891,67	373,2	2433	2413	2933	2593	170,1	-1,12	-0,86	-1,4
Pp1s129_90V6__1	5313	4608	5557	5159,33	284,52	5026	4074	5559	4886,33	434,33	-1,06	-0,89	-1,26
Pp1s129_94V6__1	32	35	27	31,33	2,33	25	31	40	32	4,36	1,02	0,77	1,3
Pp1s12_100V6__1	346	295	169	270	52,6	193	244	235	224	15,72	-1,21	-0,81	-1,64
Pp1s12_101V6__1	3769	4783	4669	4407	320,69	3343	3441	2867	3217	177,27	-1,37	-1,17	-1,59
Pp1s12_102V6__1	1206	1215	1115	1178,67	31,94	1022	1122	943	1029	51,79	-1,15	-1,04	-1,26
Pp1s12_106V6__1	31	38	32	33,67	2,19	35	25	26	28,67	3,18	-1,17	-0,96	-1,47
Pp1s12_107V6__1	113	71	101	95	12,49	168	127	204	166,33	22,24	1,75	1,28	2,4
Pp1s12_109V6__1	11929	12304	14258	12830,33	721,99	15334	13927	14523	14594,67	407,74	1,14	1,03	1,27
Pp1s12_111V6__1	46	43	41	43,33	1,45	48	45	55	49,33	2,96	1,14	1,01	1,27
Pp1s12_115V6__1	1117	873	1072	1020,67	74,97	966	1420	1007	1131	144,98	1,11	0,85	1,4
Pp1s12_116V6__1	1926	2513	1885	2108	202,85	1712	1753	2000	1821,67	89,95	-1,16	-0,96	-1,37
Pp1s12_118V6__1	25	32	62	39,67	11,35	48	66	62	58,67	5,46	1,48	0,97	2,83
Pp1s12_120V6__1	43	51	140	78	31,09	65	59	173	99	37,04	1,27	0,44	4,01
Pp1s12_121V6__1	5310	5291	5936	5512,33	211,9	4411	4515	4862	4596	136,35	-1,2	-1,11	-1,3
Pp1s12_126V6__1	18963	18065	17856	18294,67	339,57	17814	16803	16319	16978,67	440,42	-1,08	-1,02	-1,14
Pp1s12_127V6__1	43	62	41	48,67	6,69	39	57	51	49	5,29	1,01	0,76	1,36
Pp1s12_128V2__1	6761	8185	6830	7258,67	463,59	10720	9974	11610	10768	472,88	1,48	1,31	1,69
Pp1s12_128V6__1	5391	5247	4830	5156	168,22	7099	7002	7663	7254,67	206,08	1,41	1,31	1,51
Pp1s12_130V2__1	9245	8398	8249	8630,67	310,16	7181	6855	7477	7171	179,63	-1,2	-1,12	-1,29
Pp1s12_130V6__1	7814	6980	7020	7271,33	271,58	6102	5694	5918	5904,67	117,97	-1,23	-1,15	-1,32
Pp1s12_143V2__1	3189	3649	2118	2985,33	453,54	1571	1327	1898	1598,67	165,41	-1,87	-1,35	-2,5
Pp1s12_143V6__1	7031	7135	5454	6540	543,83	3548	3382	3945	3625	167,02	-1,8	-1,53	-2,1
Pp1s12_149V6__1	2319	1985	2142	2148,67	96,48	1751	1904	1476	1710,33	125,21	-1,26	-1,1	-1,45
Pp1s12_153V6__1	4449	3954	3709	4037,33	217,65	3619	4124	4155	3966	173,73	-1,02	-0,91	-1,14
Pp1s12_154V6__1	37	48	106	63,67	21,4	24	38	28	30	4,16	-2,12	-0,93	-3,55
Pp1s12_156V6__1	10149	11254	9784	10395,67	441,91	12226	10935	11825	11662	381,49	1,12	1,03	1,23
Pp1s12_158V6__1	5410	7035	6231	6225,33	469,11	6414	6895	6207	6505,33	203,79	1,04	0,92	1,2
Pp1s12_15V6__1	1698	1221	1825	1581,33	183,86	1590	1739	1567	1632	53,91	1,03	0,86	1,28
Pp1s12_160V6__1	1769	1853	1411	1677,67	135,52	2511	2272	2421	2401,33	69,69	1,43	1,25	1,66
Pp1s12_162V6__1	3317	3733	3581	3543,67	121,53	5379	4983	5493	5285	154,54	1,49	1,39	1,61
Pp1s12_163V6__1	2755	3033	2913	2900,33	80,5	2164	1910	2049	2041	73,43	-1,42	-1,32	-1,53
Pp1s12_166V6__1	81	47	42	56,67	12,25	43	68	61	57,33	7,45	1,01	0,69	1,63
Pp1s12_170V6__1	442	529	460	477	26,51	471	444	558	491	34,39	1,03	0,89	1,19
Pp1s12_172V6__1	537	595	548	560	17,79	618	584	646	616	17,93	1,1	1,02	1,18
Pp1s12_174V6__1	542	618	414	524,67	59,52	574	390	726	563,33	97,14	1,07	0,74	1,49
Pp1s12_175V6__1	54	41	71	55,33	8,69	76	85	249	136,67	56,23	2,47	0,79	4,51
Pp1s12_176V6__1	5808	5840	5465	5704,33	120,02	3859	3843	3915	3872,33	21,83	-1,47	-1,42	-1,53
Pp1s12_178V6__1	3486	3531	3756	3591	83,52	3515	4333	4122	3990	245,19	1,11	0,99	1,23
Pp1s12_179V6__1	68	32	58	52,67	10,73	54	60	43	52,33	4,98	-1,01	-0,65	-1,41
Pp1s12_180V6__1	859	800	522	727	103,91	771	902	854	842,33	38,26	1,16	0,92	1,53
Pp1s12_184V6__1	599	725	813	712,33	62,1	703	500	716	639,67	69,93	-1,11	-0,89	-1,41
Pp1s12_186V6__1	2430	2150	1992	2190,67	128,06	1915	1939	2013	1955,67	29,49	-1,12	-1,01	-1,23
Pp1s12_187V6__1	4428	4840	4982	4750	166,14	6521	4510	4723	5251,33	637,8	1,11	0,88	1,34
Pp1s12_189V6__1	1587	1350	1354	1430,33	78,34	1236	1325	1395	1318,67	46,01	-1,08	-0,97	-1,2
Pp1s12_190V6__1	6643	7582	6946	7057	276,69	8327	7773	8817	8305,67	301,57	1,18	1,08	1,29
Pp1s12_191V6__1	9257	8006	10592	9285	746,65	9483	9198	9064	9248,33	123,55	-1	-0,87	-1,14
Pp1s12_192V6__1	3758	3927	3947	3877,33	59,95	3421	3533	2289	3081	397,32	-1,26	-1,04	-1,6
Pp1s12_194V6__1	4742	4865	3340	4315,67	489,12	4499	4161	4499	4386,33	112,67	1,02	0,85	1,25
Pp1s12_195V6__1	168	599	441	402,67	125,89	407	412	316	378,33	31,2	-1,06	-0,51	-1,66
Pp1s12_196V6__1	7744	7819	9046	8203	422,06	9660	9762	8171	9197,67	514,18	1,12	0,99	1,27
Pp1s12_199V6__1	48	52	56	52	2,31	32	28	32	30,67	1,33	-1,7	-1,53	-1,88
Pp1s12_19V6__1	1199	1036	1471	1235,33	126,88	1713	1759	1719	1730,33	14,44	1,4	1,2	1,69
Pp1s12_1V6__1	44	67	29	46,67	11,05	45	39	22	35,33	6,89	-1,32	-0,75	-2,19
Pp1s12_202V6__1	6489	5240	4801	5510	505,64	4907	5098	4544	4849,67	162,47	-1,14	-0,96	-1,32
Pp1s12_204V6__1	45	29	27	33,67	5,7	31	57	31	39,67	8,67	1,18	0,71	1,84
Pp1s12_205V6__1	3216	3058	2308	2860,67	280,07	3965	2855	2572	3130,67	425,09	1,09	0,82	1,43
Pp1s12_207V6__1	8629	8246	7345	8073,33	380,58	9192	9042	9901	9378,33	264,9	1,16	1,06	1,27
Pp1s12_208V6__1	5229	4383	5765	5125,67	402,28	4529	5040	5971	5180	422,11	1,01	0,84	1,22
Pp1s12_209V6__1	21344	20864	18930	20379,33	737,8	19750	17408	16861	18006,33	886,02	-1,13	-1,02	-1,25
Pp1s12_210V6__1	36	36	29	33,67	2,33	44	31	34	36,33	3,93	1,08	0,86	1,32
Pp1s12_211V6__1	54	65	46	55	5,51	65	42	42	49,67	7,67	-1,11	-0,83	-1,54
Pp1s12_212V6__1	3279	3433	3112	3274,67	92,69	3813	3904	4204	3973,67	118,12	1,21	1,13	1,3
Pp1s12_213V6__1	36	40	25	33,67	4,48	26	36	45	35,67	5,49	1,06	0,75	1,48
Pp1s12_214V6__1	8149	8078	7211	7812,67	301,53	7159	8097	8477	7911	391,68	1,01	0,91	1,12
Pp1s12_215V6__1	1366	958	1145	1156,33	117,92	846	728	649	741	57,24	-1,56	-1,25	-1,92
Pp1s12_216V6__1	2104	1816	2105	2008,33	96,17	1393	1129	1269	1263,67	76,26	-1,59	-1,4	-1,81
Pp1s12_217V6__1	36	53	45	44,67	4,91	50	43	42	45	2,52	1,01	0,83	1,25
Pp1s12_218V6__1	50	82	57	63	9,71	25	35	121	60,33	30,47	-1,04	-0,53	-6,21
Pp1s12_220V6__1	437	445	440	440,67	2,33	454	363	410	409	26,27	-1,08	-0,97	-1,21
Pp1s12_224V6__1	6077	6269	5006	5784	392,93	5507	4914	5273	5231,33	172,45	-1,11	-0,97	-1,25
Pp1s12_226V6__1	1863	1482	1375	1573,33	148,09	1379	1307	1659	1448,33	107,36	-1,09	-0,89	-1,32
Pp1s12_229V6__1	831	931	936	899,33	34,2	1131	808	882	940,33	97,7	1,05	0,86	1,24
Pp1s12_231V6__1	19087	19378	15302	17922,33	1312,86	17580	15023	14886	15829,67	876,06	-1,13	-0,97	-1,31
Pp1s12_233V6__1	28617	27639	25520	27258,67	914,03	30986	27093	30709	29596	1254,05	1,09	0,99	1,19
Pp1s12_234V6__1	1868	1959	1915	1914	26,27	2163	1990	2313	2155,33	93,32	1,13	1,04	1,21
Pp1s12_235V6__1	697	620	880	732,33	77,11	755	547	614	638,67	61,3	-1,15	-0,9	-1,45
Pp1s12_236V6__1	1341	1212	1096	1216,33	70,76	1175	1276	1720	1390,33	167,39	1,14	0,9	1,41
Pp1s12_237V6__1	87	153	289	176,33	59,47	195	206	297	232,67	32,32	1,32	0,79	3,02
Pp1s12_238V6__1	2527	2483	2757	2589	84,95	2035	1905	2443	2127,67	162,07	-1,22	-1,07	-1,4
Pp1s12_239V6__1	5225	5629	5585	5479,67	127,97	6431	6301	5584	6105,33	263,35	1,11	1,03	1,21
Pp1s12_23V6__1	175	173	135	161	13,01	107	130	96	111	10,02	-1,45	-1,19	-1,78
Pp1s12_241V6__1	58	38	41	45,67	6,23	135	39	120	98	29,82	2,15	1,05	3,47
Pp1s12_242V6__1	61	112	60	77,67	17,17	91	89	78	86	4,04	1,11	0,8	1,75
Pp1s12_243V6__1	42	58	29	43	8,39	36	43	30	36,33	3,76	-1,18	-0,78	-1,66
Pp1s12_244V6__1	2370	1552	1434	1785,33	294,31	897	1172	764	944,33	120,13	-1,89	-1,31	-2,64
Pp1s12_246V6__1	4242	4592	4786	4540	159,18	3919	3624	4602	4048,33	289,64	-1,12	-0,99	-1,29
Pp1s12_247V6__1	3304	4012	3901	3739	219,85	4007	3808	4074	3963	79,88	1,06	0,96	1,18
Pp1s12_249V6__1	11651	14977	12105	12911	1041,28	14597	13780	16836	15071	913,47	1,17	0,99	1,38
Pp1s12_24V6__1	29	34	52	38,33	6,98	22	29	53	34,67	9,39	-1,11	-0,66	-2,1
Pp1s12_257V6__1	38	33	35	35,33	1,45	36	32	46	38	4,16	1,08	0,87	1,29
Pp1s12_259V6__1	41	42	25	36	5,51	43	29	28	33,33	4,84	-1,08	-0,75	-1,54
Pp1s12_260V6__1	141	70	170	127	29,7	98	84	142	108	17,47	-1,18	-0,69	-1,84
Pp1s12_262V6__1	161	336	160	219	58,5	243	506	357	368,67	76,15	1,68	0,97	3,2
Pp1s12_264V6__1	21	69	23	37,67	15,68	24	53	33	36,67	8,57	-1,03	-0,31	-2,1
Pp1s12_265V6__1	894	904	1366	1054,67	155,69	1497	1646	1152	1431,67	146,3	1,36	1,02	1,86
Pp1s12_267V6__1	5763	5904	6250	5972,33	144,68	5316	5843	5704	5621	157,69	-1,06	-1	-1,13
Pp1s12_269V6__1	1645	1413	1398	1485,33	79,95	1091	1083	1252	1142	55,05	-1,3	-1,15	-1,46
Pp1s12_270V6__1	6612	6321	5949	6294	191,87	8109	8199	7914	8074	84,11	1,28	1,22	1,35
Pp1s12_271V6__1	49	38	114	67	23,71	77	47	55	59,67	8,97	-1,12	-0,46	-1,93
Pp1s12_273V6__1	5885	4957	6277	5706,33	391,38	6723	7171	6791	6895	139,39	1,21	1,08	1,37
Pp1s12_275V6__1	3003	3045	2996	3014,67	15,3	2557	2677	2930	2721,33	109,93	-1,11	-1,04	-1,19
Pp1s12_276V6__1	75	41	99	71,67	16,83	76	99	97	90,67	7,36	1,27	0,88	2,09
Pp1s12_277V6__1	153	169	134	152	10,12	277	317	238	277,33	22,81	1,82	1,53	2,17
Pp1s12_279V6__1	2048	1656	2608	2104	276,24	2256	2720	2391	2455,67	137,79	1,17	0,94	1,51
Pp1s12_280V6__1	1163	1003	1019	1061,67	50,88	1083	1036	1157	1092	35,22	1,03	0,94	1,13
Pp1s12_286V6__1	1139	1432	1615	1395,33	138,63	1472	1651	1671	1598	63,26	1,15	0,97	1,38
Pp1s12_287V6__1	4340	4566	5676	4860,67	412,85	5399	4396	4161	4652	379,61	-1,04	-0,86	-1,27
Pp1s12_288V6__1	38	87	47	57,33	15,06	30	109	101	80	25,11	1,4	0,63	2,81
Pp1s12_289V6__1	10173	9720	8911	9601,33	369,11	9080	8448	8637	8721,67	187,29	-1,1	-1,02	-1,18
Pp1s12_28V6__1	1295	1459	1671	1475	108,84	1371	1326	1468	1388,33	41,9	-1,06	-0,93	-1,2
Pp1s12_290V6__1	136	41	56	77,67	29,49	54	29	47	43,33	7,45	-1,79	-0,66	-3,24
Pp1s12_291V6__1	45	26	31	34	5,69	23	42	25	30	6,03	-1,13	-0,74	-1,81
Pp1s12_293V6__1	760	269	491	506,67	141,96	533	419	405	452,33	40,54	-1,12	-0,6	-1,69
Pp1s12_294V6__1	41	32	33	35,33	2,85	106	46	28	60	23,58	1,7	0,6	2,86
Pp1s12_29V6__1	4125	4173	4845	4381	232,41	3520	3597	4126	3747,67	190,47	-1,17	-1,04	-1,32
Pp1s12_307V6__1	10716	9669	9443	9942,67	392,13	10044	9688	11770	10500,67	642,93	1,06	0,93	1,19
Pp1s12_309V6__1	1482	1107	1027	1205,33	140,25	1038	1179	970	1062,33	61,55	-1,13	-0,9	-1,39
Pp1s12_30V6__1	1223	1539	2269	1677	309,74	1783	2087	1894	1921,33	88,82	1,15	0,87	1,66
Pp1s12_315V6__1	13219	12376	13619	13071,33	366,34	12185	13069	12189	12481	294	-1,05	-0,99	-1,11
Pp1s12_316V6__1	14281	13892	13188	13787	319,86	14351	13945	14537	14277,67	174,78	1,04	0,99	1,08
Pp1s12_317V6__1	26646	27433	30563	28214	1196,27	26712	28094	29484	28096,67	800,21	-1	-0,92	-1,09
Pp1s12_31V6__1	70	169	145	128	29,82	86	84	96	88,67	3,71	-1,44	-0,89	-2,01
Pp1s12_320V6__1	3133	2628	2971	2910,67	148,87	2684	2591	2940	2738,33	104,35	-1,06	-0,96	-1,18
Pp1s12_322V6__1	38	31	31	33,33	2,33	32	34	34	33,33	0,67	1	0,89	1,13
Pp1s12_323V6__1	37	32	35	34,67	1,45	44	57	44	48,33	4,33	1,39	1,17	1,63
Pp1s12_324V6__1	47	83	36	55,33	14,19	84	35	38	52,33	15,86	-1,06	-0,54	-2,28
Pp1s12_325V6__1	46	32	28	35,33	5,46	34	25	37	32	3,61	-1,1	-0,79	-1,5
Pp1s12_339V6__1	3716	4784	4675	4391,67	339,3	3978	4476	4162	4205,33	145,38	-1,04	-0,9	-1,19
Pp1s12_33V6__1	1887	2438	2049	2124,67	163,5	2181	2339	1631	2050,33	214,57	-1,04	-0,84	-1,29
Pp1s12_340V6__1	1750	1730	2058	1846	106,16	1886	1893	1900	1893	4,04	1,03	0,94	1,13
Pp1s12_341V6__1	9441	8845	9420	9235,33	195,26	6860	6480	6649	6663	109,92	-1,39	-1,33	-1,45
Pp1s12_344V6__1	119	162	143	141,33	12,44	112	127	144	127,67	9,24	-1,11	-0,91	-1,33
Pp1s12_346V6__1	4769	4798	5656	5074,33	290,95	5361	5993	5798	5717,33	186,85	1,13	1,01	1,26
Pp1s12_347V6__1	4202	3505	4301	4002,67	250,47	4746	4304	3609	4219,67	330,92	1,05	0,89	1,24
Pp1s12_349V6__1	13696	14718	15015	14476,33	399,48	15399	15953	15451	15601	176,64	1,08	1,03	1,13
Pp1s12_350V6__1	613	591	536	580	22,9	533	421	447	467	33,84	-1,24	-1,09	-1,43
Pp1s12_351V6__1	2014	2011	2013	2012,67	0,88	1789	1846	2529	2054,67	237,74	1,02	0,83	1,22
Pp1s12_353V6__1	183	187	167	179	6,11	251	269	214	244,67	16,19	1,37	1,2	1,54
Pp1s12_355V6__1	2042	1963	1705	1903,33	101,76	1688	1654	1752	1698	28,73	-1,12	-1,02	-1,23
Pp1s12_356V2__1	889	760	739	796	46,89	884	953	853	896,67	29,55	1,13	1,01	1,26
Pp1s12_356V6__1	1677	1714	1665	1685,33	14,75	2110	2086	1695	1963,67	134,51	1,17	1,03	1,3
Pp1s12_357V6__1	1843	1584	1799	1742	80,01	1784	1728	1775	1762,33	17,36	1,01	0,94	1,1
Pp1s12_359V6__1	32	24	43	33	5,51	29	29	52	36,67	7,67	1,11	0,69	1,72
Pp1s12_364V6__1	2685	3464	2465	2871,33	303,06	1598	2043	1394	1678,33	191,61	-1,71	-1,32	-2,22
Pp1s12_365V6__1	50	84	74	69,33	10,09	41	78	35	51,33	13,45	-1,35	-0,86	-2,46
Pp1s12_366V6__1	118	53	62	77,67	20,33	41	52	48	47	3,21	-1,65	-0,93	-2,41
Pp1s12_367V6__1	4727	4547	4196	4490	155,91	4802	4897	4835	4844,67	27,85	1,08	1,02	1,15
Pp1s12_368V6__1	5764	5557	5398	5573	105,96	5110	5306	4693	5036,33	180,75	-1,11	-1,04	-1,18
Pp1s12_369V6__1	67	72	36	58,33	11,26	100	112	123	111,67	6,64	1,91	1,42	2,83
Pp1s12_370V6__1	469	43	49	187	141,01	159	63	151	124,33	30,75	-1,5	0	-3,97
Pp1s12_371V6__1	10919	10318	10459	10565,33	181,46	8647	10261	11143	10017	730,79	-1,05	-0,94	-1,2
Pp1s12_372V6__1	5151	4872	4824	4949	101,95	4912	4355	4627	4631,33	160,81	-1,07	-1	-1,14
Pp1s12_373V6__1	3894	3685	4222	3933,67	156,28	4163	3561	3398	3707,33	232,64	-1,06	-0,94	-1,2
Pp1s12_377V6__1	3586	3315	2746	3215,67	247,52	3239	3001	3657	3299	191,73	1,03	0,88	1,21
Pp1s12_378V6__1	526	522	731	593	69,01	494	677	719	630	69,07	1,06	0,82	1,39
Pp1s12_379V6__1	20888	18603	19834	19775	660,28	19568	17962	17584	18371,33	608,2	-1,08	-1	-1,16
Pp1s12_382V6__1	863	1278	938	1026,33	127,68	993	929	1056	992,67	36,66	-1,03	-0,82	-1,26
Pp1s12_383V2__1	13270	14808	13418	13832	489,87	11498	14183	10690	12123,67	1055,76	-1,14	-0,98	-1,34
Pp1s12_383V6__1	30081	32759	31116	31318,67	779,69	29610	33990	28734	30778	1625,79	-1,02	-0,93	-1,12
Pp1s12_390V6__1	21093	22671	19758	21174	841,89	22103	21636	23425	22388	535,74	1,06	0,98	1,14
Pp1s12_393V6__1	39	31	39	36,33	2,67	91	33	30	51,33	19,85	1,41	0,51	2,36
Pp1s12_395V6__1	2343	2287	1889	2173	142,92	894	1253	1217	1121,33	114,14	-1,94	-1,6	-2,39
Pp1s12_397V6__1	37	53	46	45,33	4,63	33	38	30	33,67	2,33	-1,35	-1,09	-1,64
Pp1s12_398V6__1	56	66	53	58,33	3,93	57	69	49	58,33	5,81	1	0,81	1,21
Pp1s12_3V6__1	428	394	434	418,67	12,45	770	536	558	621,33	74,6	1,48	1,19	1,79
Pp1s12_401V6__1	31409	31822	28985	30738,67	884,9	30923	27819	26930	28557,33	1210,35	-1,08	-0,99	-1,17
Pp1s12_404V6__1	960	522	1181	887,67	193,64	604	669	956	743	108,14	-1,19	-0,73	-1,8
Pp1s12_405V6__1	47	75	38	53,33	11,14	47	34	43	41,33	3,84	-1,29	-0,83	-1,81
Pp1s12_406V6__1	137	81	53	90,33	24,69	77	91	68	78,67	6,69	-1,15	-0,62	-1,72
Pp1s12_408V6__1	37	61	61	53	8	37	38	31	35,33	2,19	-1,5	-1,11	-1,92
Pp1s12_409V6__1	35	24	48	35,67	6,94	56	39	35	43,33	6,44	1,21	0,82	1,89
Pp1s12_40V6__1	3689	3696	3285	3556,67	135,85	3465	3123	4189	3592,33	314,24	1,01	0,86	1,17
Pp1s12_410V6__1	41	46	73	53,33	9,94	24	57	48	43	9,85	-1,24	-0,76	-2,13
Pp1s12_412V6__1	3368	3674	3547	3529,67	88,76	4088	3441	3432	3653,67	217,18	1,04	0,93	1,15
Pp1s12_413V6__1	3908	3799	5434	4380,33	527,77	4839	5436	5776	5350,33	273,86	1,22	1	1,54
Pp1s12_414V6__1	6519	6014	5478	6003,67	300,56	8395	7922	8973	8430	303,9	1,4	1,27	1,56
Pp1s12_415V6__1	12665	11256	11034	11651,67	510,7	11324	10838	11212	11124,67	146,93	-1,05	-0,97	-1,13
Pp1s12_416V6__1	8214	7112	8220	7848,67	368,34	7713	6748	7574	7345	301,18	-1,07	-0,96	-1,18
Pp1s12_418V2__1	9276	10639	9863	9926	394,72	8378	8339	10723	9146,67	788,25	-1,09	-0,93	-1,28
Pp1s12_41V6__1	1064	991	709	921,33	108,24	990	946	753	896,33	72,78	-1,03	-0,8	-1,29
Pp1s12_42V6__1	74	51	53	59,33	7,36	31	26	37	31,33	3,18	-1,89	-1,44	-2,46
Pp1s12_43V6__1	247	169	149	188,33	29,9	322	360	279	320,33	23,4	1,7	1,3	2,35
Pp1s12_44V6__1	24213	26484	23677	24791,33	860,36	22529	21491	25005	23008,33	1042,33	-1,08	-0,98	-1,19
Pp1s12_45V6__1	232	103	328	221	65,18	113	44	168	108,33	35,87	-2,04	-0,93	-4,87
Pp1s12_46V6__1	162	95	113	123,33	20,02	128	128	112	122,67	5,33	-1,01	-0,73	-1,29
Pp1s12_50V6__1	1449	1181	1931	1520,33	219,42	1341	1513	1250	1368	77,11	-1,11	-0,84	-1,41
Pp1s12_51V6__1	4341	5199	5560	5033,33	361,51	6560	6267	5883	6236,67	196,02	1,24	1,09	1,42
Pp1s12_54V6__1	5580	5484	5187	5417	118,29	4664	5166	3849	4559,67	383,75	-1,19	-1,04	-1,38
Pp1s12_55V6__1	4034	3360	3816	3736,67	198,57	3430	3304	3270	3334,67	48,67	-1,12	-1,02	-1,22
Pp1s12_57V6__1	151	188	164	167,67	10,84	211	75	104	130	41,36	-1,29	-0,83	-2,72
Pp1s12_58V6__1	1572	1574	1317	1487,67	85,34	1069	998	1192	1086,33	56,67	-1,37	-1,2	-1,56
Pp1s12_59V6__1	768	897	723	796	52,14	1066	1083	933	1027,33	47,42	1,29	1,13	1,48
Pp1s12_60V6__1	13066	12796	12541	12801	151,58	12277	12249	12664	12396,67	133,91	-1,03	-1,01	-1,06
Pp1s12_62V6__1	4903	5819	5008	5243,33	289,42	5281	5799	6160	5746,67	255,09	1,1	0,98	1,23
Pp1s12_63V6__1	3142	3204	3349	3231,67	61,34	1961	2320	2034	2105	109,55	-1,54	-1,41	-1,69
Pp1s12_68V6__1	837	1377	963	1059	163,11	1108	1312	1838	1419,33	217,46	1,34	0,93	1,94
Pp1s12_71V6__1	7015	7819	7112	7315,33	253,39	7238	8453	6942	7544,33	462,3	1,03	0,92	1,15
Pp1s12_72V6__1	48	77	89	71,33	12,17	388	217	226	277	55,56	3,88	2,43	6
Pp1s12_73V6__1	1611	1815	1195	1540,33	182,43	1726	1999	1668	1797,67	102,05	1,17	0,95	1,47
Pp1s12_74V6__1	4490	5126	4512	4709,33	208,43	4524	4926	5867	5105,67	397,96	1,08	0,93	1,25
Pp1s12_77V6__1	1620	1965	2161	1915,33	158,14	1928	1984	2135	2015,67	61,82	1,05	0,92	1,23
Pp1s12_79V6__1	59	78	82	73	7,09	121	104	103	109,33	5,84	1,5	1,26	1,82
Pp1s12_7V6__1	2926	2466	2561	2651	140,21	2444	2370	2371	2395	24,5	-1,11	-1,01	-1,21
Pp1s12_81V6__1	649	787	742	726	40,63	1021	524	969	838	157,72	1,15	0,79	1,54
Pp1s12_84V6__1	59	61	49	56,33	3,71	106	74	71	83,67	11,2	1,49	1,14	1,87
Pp1s12_85V6__1	8255	7032	8363	7883,33	426,81	7950	7609	8076	7878,33	139,49	-1	-0,91	-1,1
Pp1s12_87V6__1	85	37	63	61,67	13,87	25	34	42	33,67	4,91	-1,83	-1,1	-2,78
Pp1s12_89V6__1	44	49	103	65,33	18,89	58	41	53	50,67	5,04	-1,29	-0,67	-1,98
