"Go_terms_and_categoria_BP.gene_id"	"Go_terms_and_categoria_BP.go_id"
"562"	"AT1G02010"	"GO:0009306"
"563"	"AT1G02010"	"GO:0009306"
"564"	"AT1G02020"	"GO:0008152"
"565"	"AT1G02030"	"GO:0006355"
"566"	"AT1G02030"	"GO:0006355"
"567"	"AT1G02030"	"GO:0006355"
"568"	"AT1G02050"	"GO:0009699"
"569"	"AT1G02050"	"GO:0009699"
"570"	"AT1G02050"	"GO:0010584"
"571"	"AT1G02050"	"GO:0010584"
"572"	"AT1G02050"	"GO:0010584"
"573"	"AT1G02050"	"GO:0010584"
"574"	"AT1G02050"	"GO:0010584"
"575"	"AT1G02050"	"GO:0010584"
"576"	"AT1G02050"	"GO:0010584"
"577"	"AT1G02050"	"GO:0010584"
"578"	"AT1G02050"	"GO:0010584"
"579"	"AT1G02050"	"GO:0010584"
"580"	"AT1G02050"	"GO:0010584"
"581"	"AT1G02050"	"GO:0010584"
"582"	"AT1G02050"	"GO:0030639"
"583"	"AT1G02050"	"GO:0080110"
"584"	"AT1G02050"	"GO:0080110"
"585"	"AT1G02050"	"GO:0080110"
"586"	"AT1G02050"	"GO:0080110"
"587"	"AT1G02060"	"GO:0008150"
"588"	"AT1G02065"	"GO:0009554"
"589"	"AT1G02065"	"GO:0009554"
"590"	"AT1G02065"	"GO:0009556"
"591"	"AT1G02065"	"GO:0009556"
"592"	"AT1G02065"	"GO:0048653"
"593"	"AT1G02074"	"GO:0008150"
"594"	"AT1G02080"	"GO:0000226"
"595"	"AT1G02080"	"GO:0000226"
"596"	"AT1G02080"	"GO:0000911"
"597"	"AT1G02080"	"GO:0007155"
"598"	"AT1G02080"	"GO:0010090"
"599"	"AT1G02080"	"GO:0010090"
"600"	"AT1G02080"	"GO:0045010"
"601"	"AT1G02080"	"GO:0045010"
"602"	"AT1G02090"	"GO:0009640"
"603"	"AT1G02090"	"GO:0009640"
"604"	"AT1G02090"	"GO:0009640"
"605"	"AT1G02090"	"GO:0009640"
"606"	"AT1G02090"	"GO:0010387"
"607"	"AT1G02090"	"GO:0016567"
"608"	"AT1G02090"	"GO:0016567"
"609"	"AT1G02090"	"GO:0016567"
"610"	"AT1G02090"	"GO:0016571"
"611"	"AT1G02090"	"GO:0016571"
"612"	"AT1G02090"	"GO:0016571"
"613"	"AT1G02090"	"GO:0016571"
"614"	"AT1G02090"	"GO:0016579"
"615"	"AT1G02090"	"GO:0016579"
"616"	"AT1G02090"	"GO:0016579"
"617"	"AT1G02090"	"GO:0045893"
"618"	"AT1G02090"	"GO:0045893"
"619"	"AT1G02090"	"GO:0045893"
"620"	"AT1G02100"	"GO:0048573"
"621"	"AT1G02100"	"GO:0048573"
"622"	"AT1G02110"	"GO:0006499"
"623"	"AT1G02110"	"GO:0006499"
"624"	"AT1G02110"	"GO:0006499"
"625"	"AT1G02110"	"GO:0009640"
"626"	"AT1G02110"	"GO:0009640"
